@relation SampleTrainData

@attribute avgSpeed numeric
@attribute avgAcc numeric
@attribute maxSpeed numeric
@attribute minSpeed numeric
@attribute 'transportation mode' {Stationary,Walking,Bicycle,Bus,Train,Car}

@data
102.594796,1.60221,141.007002,23.485435,Car
0.018911,0.032058,0.012098,0.009622,Stationary
7.019929,0.418118,11.94537,0.877113,Walking
17.458952,0.856701,0.210109,2.518736,Bicycle
27.370244,2.799221,72.767182,8.946923,Bus
57.294853,0.413911,157.033066,11.183723,Train
39.004183,2.540816,79.394091,15.258828,Car
0.01012,0.047927,0.016135,0.007341,Stationary
5.81617,0.428174,10.904827,1.084238,Walking
20.401373,1.188137,27.157375,0.695871,Bicycle
37.213047,1.630654,68.126957,9.71099,Bus
122.924106,0.483367,92.27111,28.933044,Train
77.024741,2.010793,88.277887,22.900561,Car
0.015916,0.032955,0.016374,0.006802,Stationary
7.295556,0.245456,12.589484,0.907913,Walking
17.66743,1.18425,6.359114,2.883421,Bicycle
50.344271,2.707909,76.457389,9.695921,Bus
121.270872,0.598771,141.947319,27.530696,Train
92.283521,2.045672,144.411722,7.156367,Car
0.015184,0.057075,0.019763,0.007021,Stationary
4.765493,0.403717,7.28902,0.783725,Walking
14.301168,0.969751,28.336483,2.404532,Bicycle
26.658519,0.84461,66.835433,3.866116,Bus
129.137058,0.977388,104.671792,23.1087,Train
48.446141,1.157376,74.950584,10.70709,Car
0.014517,0.051662,0.012262,0.018592,Stationary
4.047342,0.255761,9.472457,0.139633,Walking
23.86531,0.907433,29.281375,0.77086,Bicycle
33.662003,1.321099,73.71838,11.11391,Bus
72.628801,0.933202,131.109813,9.596806,Train
72.681609,0.780212,103.074289,8.124933,Car
0.011597,0.025835,0.018286,0.00769,Stationary
6.135747,0.562845,12.26403,0.686405,Walking
15.397379,1.135551,8.818885,3.340437,Bicycle
54.341751,1.857505,50.555488,1.116137,Bus
74.903613,0.984984,146.013723,9.431767,Train
85.738043,0.829753,80.698424,9.890651,Car
0.015421,0.021718,0.013997,0.019521,Stationary
6.987583,0.241298,5.280264,1.383153,Walking
24.534663,1.080557,28.093208,2.021353,Bicycle
34.282936,1.38591,66.260361,11.192199,Bus
109.231339,0.943589,161.261023,25.469997,Train
44.220949,1.881708,106.431369,13.494494,Car
0.018171,0.044297,0.012048,0.015355,Stationary
7.947173,0.242011,8.458138,0.325745,Walking
13.947425,0.744278,0.056699,1.765529,Bicycle
39.95152,1.349327,64.321938,7.170369,Bus
101.09673,0.514516,86.261833,25.831173,Train
46.421136,1.779481,105.616235,10.850024,Car
0.010896,0.038221,0.012646,0.014612,Stationary
5.18034,0.213111,12.180233,0.205681,Walking
20.196727,0.564891,18.008564,2.660138,Bicycle
36.226332,2.894105,71.694793,12.589275,Bus
77.683445,0.792715,92.916942,18.435132,Train
63.388179,1.639279,134.361515,8.996296,Car
0.0157,0.041452,0.010667,0.001777,Stationary
4.582479,0.429411,5.781614,1.193604,Walking
13.560685,1.016685,21.269544,2.692507,Bicycle
31.122314,1.251353,57.648618,4.929223,Bus
62.738269,0.489395,147.807476,22.646174,Train
87.242448,2.147814,129.014274,4.803626,Car
0.018357,0.048429,0.011907,0.009756,Stationary
5.062367,0.515636,6.266964,0.349319,Walking
19.790826,0.616324,24.853688,4.817385,Bicycle
32.071893,0.557554,71.459566,0.680238,Bus
118.488054,0.65503,146.377091,4.792483,Train
52.215091,0.709902,128.730387,9.554523,Car
0.017491,0.037017,0.012474,0.013858,Stationary
5.739075,0.448459,6.347787,0.39632,Walking
17.257527,0.640364,2.064102,1.04928,Bicycle
37.066465,0.89955,77.471783,13.05869,Bus
66.627079,0.701795,91.631438,15.182618,Train
91.039513,1.884314,71.291504,16.11091,Car
0.011527,0.028073,0.012152,0.017719,Stationary
6.111819,0.292158,12.146856,1.225191,Walking
14.506138,0.62435,7.773873,4.234967,Bicycle
29.395811,0.602736,74.139108,2.370281,Bus
116.694163,0.939756,167.634053,4.511439,Train
46.97534,1.048444,96.711518,3.075059,Car
0.013794,0.038354,0.018976,0.007097,Stationary
6.568982,0.506596,6.550336,0.808583,Walking
24.366192,0.884964,4.587367,4.590632,Bicycle
39.165712,1.92564,52.184809,12.873684,Bus
97.02789,0.4603,83.657355,2.212535,Train
58.743048,2.116039,78.966181,4.697654,Car
0.014259,0.049549,0.012123,0.002631,Stationary
6.249304,0.535772,7.119587,0.876026,Walking
20.547073,0.669008,29.836355,3.408856,Bicycle
25.454498,0.662115,51.21724,13.120107,Bus
80.600518,0.551732,128.4277,11.927229,Train
59.787564,2.839963,142.665235,10.502543,Car
0.011305,0.033204,0.017295,0.009292,Stationary
4.710529,0.488451,12.714886,1.386477,Walking
15.514357,1.093644,10.645201,1.340727,Bicycle
38.399632,1.214858,57.417127,13.519078,Bus
97.210105,0.833973,131.215997,1.917631,Train
83.573969,2.662461,142.616774,11.047279,Car
0.017622,0.023633,0.017531,0.01569,Stationary
6.197351,0.555407,10.646621,0.11892,Walking
16.71922,0.73585,24.295869,1.980941,Bicycle
35.302522,2.285573,55.31896,12.183782,Bus
106.292886,0.703409,95.582822,26.51661,Train
61.492048,2.223635,141.153867,1.083903,Car
0.01794,0.028332,0.016393,0.019628,Stationary
8.018064,0.588767,6.701313,0.647513,Walking
22.692928,0.667959,21.772176,2.847684,Bicycle
53.650512,2.962666,78.418717,10.884451,Bus
126.984488,0.729689,127.880993,16.746362,Train
36.834374,2.629975,109.183685,10.63084,Car
0.010677,0.049505,0.01428,0.000914,Stationary
8.787977,0.212715,9.812944,1.172966,Walking
19.654972,0.759189,7.361366,0.628081,Bicycle
38.177266,2.942167,59.621631,1.333116,Bus
67.027288,0.905393,112.026571,2.856291,Train
45.348418,1.507641,122.53419,19.321048,Car
0.016282,0.021848,0.019966,0.009242,Stationary
8.776039,0.560903,12.151477,0.012158,Walking
18.439276,0.74212,3.126385,3.181965,Bicycle
39.450535,1.28296,51.624889,2.973757,Bus
105.303478,0.721707,156.927068,25.093942,Train
83.690251,2.155056,136.702987,20.615246,Car
0.011518,0.037501,0.019156,0.007884,Stationary
5.641849,0.592364,11.722878,0.750925,Walking
22.90251,0.507927,20.903011,0.126748,Bicycle
44.682334,2.993061,69.516943,14.927361,Bus
122.383865,0.671691,115.292276,9.126182,Train
50.867153,1.580263,124.30242,1.26886,Car
0.017593,0.049312,0.012323,0.010651,Stationary
4.200809,0.400179,7.17754,0.761412,Walking
14.323828,0.554874,30.044655,0.658452,Bicycle
27.142797,1.958068,76.534951,4.524358,Bus
91.796525,0.531437,88.336347,11.382352,Train
54.816192,0.879905,123.449068,17.386123,Car
0.019932,0.033416,0.015096,0.005924,Stationary
4.16664,0.233235,9.859416,1.344314,Walking
18.49146,0.714951,13.106044,2.913186,Bicycle
27.26575,2.012118,54.533905,4.518699,Bus
110.444059,0.710965,109.528094,22.076449,Train
81.493905,1.681807,61.875502,22.801102,Car
0.0148,0.054219,0.017561,0.011638,Stationary
5.317478,0.507284,6.446967,1.348243,Walking
16.403398,0.986385,2.484251,2.039743,Bicycle
49.081651,1.197653,66.476313,0.316394,Bus
89.701888,0.615161,104.448427,22.080617,Train
82.309001,1.382726,130.553088,13.645117,Car
0.014928,0.047229,0.016026,0.001903,Stationary
4.080565,0.507512,6.158686,0.518317,Walking
14.555602,1.006201,19.679269,2.772878,Bicycle
54.67078,2.329259,65.809169,9.861487,Bus
100.707725,0.594463,165.590364,4.779618,Train
36.886503,1.054323,127.728966,0.406502,Car
0.016842,0.028907,0.01342,0.004296,Stationary
7.50759,0.496974,9.154178,0.752357,Walking
21.339023,0.510456,33.004385,0.473227,Bicycle
33.101824,2.204076,66.769893,2.244225,Bus
127.152186,0.427203,156.828746,26.366293,Train
37.685796,2.274431,64.152199,11.937665,Car
0.011063,0.038037,0.017805,0.007529,Stationary
4.235643,0.429951,10.968194,0.271503,Walking
16.485114,0.627113,12.911525,2.031382,Bicycle
29.530837,2.836718,67.147534,14.223837,Bus
97.757083,0.950648,85.044271,11.954042,Train
61.691832,2.366321,114.019404,10.670761,Car
0.010543,0.039539,0.014641,0.005325,Stationary
7.201053,0.461344,6.603933,0.902101,Walking
23.791211,1.008784,14.112387,2.869703,Bicycle
32.434586,1.302233,64.361716,12.294367,Bus
88.258589,0.626112,124.762071,6.470191,Train
80.503814,2.816758,68.053344,24.439789,Car
0.015015,0.044133,0.011345,0.001139,Stationary
7.116714,0.441127,6.662772,1.287945,Walking
18.875022,0.953063,20.173117,3.567131,Bicycle
36.198567,0.842926,77.011121,1.868357,Bus
110.191166,0.561816,162.795504,12.825275,Train
35.482612,2.736256,133.73031,20.893572,Car
0.010825,0.033126,0.011914,0.008303,Stationary
6.409254,0.52892,5.537788,1.385691,Walking
18.060839,0.854305,24.51957,4.206433,Bicycle
51.843284,2.731747,66.896201,12.131864,Bus
77.761256,0.805209,95.344023,23.516662,Train
70.408922,0.992219,143.111382,4.895931,Car
0.017088,0.045855,0.017358,0.005055,Stationary
8.703594,0.345072,8.870145,1.465221,Walking
16.098028,0.528627,19.986999,0.363626,Bicycle
40.292733,1.446764,79.223323,8.871629,Bus
88.762904,0.369208,110.48063,3.066724,Train
78.192995,0.718176,84.862813,2.087597,Car
0.013748,0.021562,0.015334,0.002321,Stationary
8.329328,0.376947,8.060259,0.195117,Walking
16.246624,0.763745,4.818773,3.286634,Bicycle
33.593264,0.854084,71.125384,14.944658,Bus
126.858527,0.569537,109.298061,19.083852,Train
42.576163,1.306967,115.29476,21.265067,Car
0.015601,0.048647,0.010384,0.008003,Stationary
7.921582,0.567547,5.726702,1.404878,Walking
24.514553,0.618545,21.736406,1.128516,Bicycle
30.686278,1.368901,73.524148,1.403588,Bus
105.792754,0.403678,88.068994,2.473469,Train
73.303513,0.78389,97.868253,14.934474,Car
0.011841,0.024147,0.013741,0.018445,Stationary
4.468258,0.446954,6.560803,0.461972,Walking
14.289233,0.82103,28.721313,2.092062,Bicycle
28.073156,2.949697,57.985761,12.948505,Bus
123.320442,0.363348,127.394316,12.099948,Train
92.483766,1.24302,131.03481,19.175168,Car
0.01905,0.046534,0.015565,0.004963,Stationary
5.916677,0.356186,11.658587,0.383562,Walking
13.368441,1.001905,25.770801,4.522487,Bicycle
41.78332,1.179938,67.843209,12.473575,Bus
123.39517,0.667064,160.38191,1.343971,Train
70.06583,2.712564,62.062634,22.238477,Car
0.011678,0.027637,0.013373,0.00774,Stationary
5.555809,0.382381,12.157478,1.157474,Walking
22.647608,0.661742,31.905684,3.101896,Bicycle
30.766934,0.801646,51.747631,14.262748,Bus
94.625502,0.549924,86.966548,21.694813,Train
86.546709,1.856778,103.554795,12.212531,Car
0.011843,0.032692,0.019061,0.004433,Stationary
6.787998,0.385266,12.287341,1.048191,Walking
22.037961,0.531212,20.909801,3.003265,Bicycle
41.898602,1.42331,59.623334,0.190608,Bus
128.077129,0.937129,94.766216,12.938768,Train
38.077406,2.642602,116.256493,13.72956,Car
0.012587,0.029193,0.015641,0.015371,Stationary
7.204306,0.563465,9.549997,1.39727,Walking
21.129961,1.139431,24.905284,0.937436,Bicycle
54.650961,2.813551,75.328628,3.689313,Bus
84.620774,0.91663,103.727593,29.830079,Train
60.727859,2.237326,130.17252,15.104744,Car
0.011189,0.028273,0.018464,0.003171,Stationary
6.517897,0.495661,6.393626,1.496839,Walking
16.66435,0.912006,20.358398,0.204555,Bicycle
44.919804,2.177455,52.499974,11.552137,Bus
70.768294,0.371262,151.014456,15.658128,Train
103.788913,2.386618,99.419254,24.254843,Car
0.010309,0.053147,0.016678,0.019196,Stationary
8.6263,0.492385,10.722203,0.616446,Walking
17.293657,0.800175,9.693947,0.152013,Bicycle
25.83109,2.281308,55.697005,5.655514,Bus
80.999089,0.368956,168.819303,16.638759,Train
91.090211,1.290985,108.551608,7.662359,Car
0.014531,0.034816,0.010024,0.010566,Stationary
7.863616,0.481291,8.507723,0.914281,Walking
21.310257,0.999099,23.389454,2.492719,Bicycle
39.850302,2.692495,77.300111,2.701148,Bus
88.361264,0.847017,116.184834,12.213521,Train
102.847156,1.686815,106.554766,4.749001,Car
0.019766,0.030024,0.015852,0.010551,Stationary
4.756549,0.472994,6.60643,0.079775,Walking
20.156773,1.19396,15.266535,0.262928,Bicycle
29.013274,2.602743,51.391045,0.92576,Bus
111.781382,0.746421,99.436389,1.926411,Train
54.643828,0.791823,141.11202,6.05534,Car
0.013315,0.05493,0.019975,0.010099,Stationary
7.077281,0.274324,10.787668,0.690919,Walking
24.134795,0.784381,17.828775,1.25377,Bicycle
52.648594,2.085627,78.967788,12.607607,Bus
109.908907,0.585536,159.705857,11.109066,Train
101.575779,2.803251,72.050817,22.958034,Car
0.016335,0.025366,0.011836,0.002639,Stationary
6.453442,0.374261,6.84833,1.387282,Walking
17.430428,0.639582,19.689391,2.651281,Bicycle
42.633824,1.63807,77.233138,14.023592,Bus
66.061647,0.703676,128.932423,2.908999,Train
90.191571,1.902333,90.323195,15.094266,Car
0.014764,0.028708,0.017142,0.009079,Stationary
4.372136,0.575366,11.341629,1.088758,Walking
15.953389,1.072945,25.224159,3.045217,Bicycle
30.404539,2.650013,76.161447,4.47392,Bus
103.290897,0.587042,164.649235,8.751687,Train
76.40025,0.953442,85.105591,13.778116,Car
0.015422,0.049921,0.018187,0.003611,Stationary
7.466034,0.217039,6.575368,0.058225,Walking
22.11001,1.041645,26.125859,3.869308,Bicycle
39.578179,2.949695,79.307114,10.084909,Bus
125.367944,0.959047,82.286147,22.05828,Train
104.511704,1.864419,97.712061,12.854713,Car
0.018291,0.022963,0.014481,0.01489,Stationary
5.969572,0.296591,10.453766,1.220406,Walking
24.822014,1.002956,2.154886,1.526026,Bicycle
43.848665,0.534944,67.048758,10.824889,Bus
77.930346,0.378045,158.831019,18.153525,Train
47.826747,1.34747,107.908115,18.85474,Car
0.011925,0.033838,0.014716,0.007237,Stationary
8.169209,0.439729,9.414048,0.983247,Walking
19.515462,1.140186,26.819566,4.546035,Bicycle
48.528641,2.528959,67.108536,5.191731,Bus
95.285082,0.918459,141.314661,28.27134,Train
47.90517,0.718765,136.028932,12.979597,Car
0.013851,0.05769,0.017768,0.001916,Stationary
8.68938,0.348848,7.552283,1.169336,Walking
15.640829,1.126653,34.863522,1.167615,Bicycle
33.5718,1.243558,66.35184,7.437442,Bus
115.792144,0.470892,92.107518,14.313948,Train
64.24873,2.87954,133.583745,23.719047,Car
0.013292,0.032716,0.012208,0.017714,Stationary
7.92998,0.375212,8.107768,1.030218,Walking
22.747784,0.619621,22.879561,0.24437,Bicycle
26.599538,2.795965,66.329539,11.977284,Bus
75.981351,0.986025,157.568629,3.706129,Train
100.878161,1.311794,117.758353,20.688229,Car
0.012751,0.052443,0.010596,0.011564,Stationary
7.196484,0.428031,5.414079,0.425401,Walking
19.916561,0.999368,18.530526,3.645121,Bicycle
32.699089,1.094204,64.714247,4.866609,Bus
127.370235,0.355824,95.977034,14.84156,Train
39.162116,1.222678,67.115064,18.795899,Car
0.019991,0.057792,0.018171,0.01709,Stationary
5.14144,0.350551,8.636979,0.869443,Walking
14.0134,0.9975,19.994399,4.028823,Bicycle
49.61464,0.521302,67.456975,0.430453,Bus
121.20491,0.727635,107.282072,26.22316,Train
35.421989,1.928446,74.329799,0.543919,Car
0.01942,0.040774,0.013352,0.001254,Stationary
8.362034,0.50472,11.27278,0.785453,Walking
24.726455,1.009461,21.839211,0.487121,Bicycle
44.253274,1.734984,79.953087,2.203816,Bus
75.336016,0.518147,129.078252,5.407175,Train
43.678881,1.549979,126.657284,17.933943,Car
0.011524,0.051106,0.010277,0.006103,Stationary
6.03374,0.522843,7.651185,0.921084,Walking
21.818181,0.892914,0.786677,0.371367,Bicycle
48.541935,2.556299,58.6617,6.914135,Bus
121.691386,0.51308,118.92937,1.931413,Train
52.978174,1.981866,118.197537,24.448721,Car
0.014965,0.049538,0.013282,0.008632,Stationary
8.247346,0.453514,9.60146,0.929783,Walking
15.948992,1.122806,1.373285,2.820713,Bicycle
48.612349,2.094835,68.930546,7.235658,Bus
57.325959,0.323453,100.502659,14.067359,Train
78.840794,2.980361,89.818294,2.671151,Car
0.010878,0.030264,0.018909,0.011521,Stationary
4.700085,0.352233,7.616687,1.106762,Walking
14.546068,0.515999,5.426909,3.576821,Bicycle
45.450271,2.697203,76.215593,5.006031,Bus
81.784961,0.779092,141.924521,18.913387,Train
59.948107,2.540862,113.60737,6.753457,Car
0.019522,0.021227,0.016993,0.014732,Stationary
7.74535,0.447021,9.412374,1.459984,Walking
20.927058,0.809664,5.065511,1.127288,Bicycle
44.120039,2.294029,74.723926,1.562812,Bus
115.26188,0.619825,165.122135,3.621318,Train
57.430682,2.029601,100.895543,13.618039,Car
0.019352,0.040982,0.018731,0.014407,Stationary
8.382,0.547163,10.050097,0.771633,Walking
18.392813,1.192671,3.352199,1.959486,Bicycle
45.506605,2.502484,52.211611,7.473983,Bus
61.276509,0.721784,122.806772,24.940993,Train
49.170178,1.346139,61.254639,17.148298,Car
0.016594,0.046387,0.011913,0.013757,Stationary
5.470352,0.310562,12.446572,0.597298,Walking
17.014292,0.55839,23.912658,3.285564,Bicycle
44.436031,1.057038,68.809495,3.416399,Bus
110.17279,0.338605,111.68932,6.367102,Train
36.673639,0.830952,132.303414,20.680434,Car
0.015838,0.040136,0.012933,0.01799,Stationary
7.920005,0.56698,6.101834,0.66717,Walking
18.129693,0.671461,32.010565,3.836366,Bicycle
41.929298,2.155555,67.413282,12.094899,Bus
78.576171,0.950164,116.580386,14.517756,Train
48.705009,2.210034,98.868774,9.296931,Car
0.016127,0.024891,0.010454,0.008892,Stationary
8.009295,0.283012,8.10591,0.425601,Walking
18.336142,1.181717,21.954291,2.747391,Bicycle
25.237664,1.265867,54.971687,9.411356,Bus
96.981284,0.310107,129.491595,3.503802,Train
88.59324,2.649727,121.918815,18.090272,Car
0.013795,0.032094,0.012653,0.017873,Stationary
6.301359,0.503412,7.690051,1.478928,Walking
17.758664,0.556092,25.497199,3.035195,Bicycle
34.894494,2.69774,70.567333,0.110714,Bus
112.98579,0.570206,169.211482,17.186088,Train
41.98141,0.779277,140.486473,0.767988,Car
0.015696,0.021721,0.018703,0.008381,Stationary
5.196492,0.456954,8.697498,1.380715,Walking
22.585588,0.913724,29.186797,2.022125,Bicycle
54.910782,1.311083,51.738114,8.734238,Bus
98.762791,0.97063,98.108638,20.878118,Train
102.96077,1.04512,87.98652,24.368863,Car
0.014725,0.024514,0.012013,0.007756,Stationary
4.566825,0.459445,9.833734,1.31113,Walking
16.92219,0.560385,27.787597,4.795473,Bicycle
39.464567,2.474618,62.623846,4.093616,Bus
106.047924,0.863282,99.637111,21.042537,Train
87.278068,2.346271,77.981395,2.410391,Car
0.013837,0.021849,0.01102,0.009252,Stationary
4.442182,0.217823,11.141595,0.442555,Walking
24.174086,0.516825,11.069436,0.704633,Bicycle
38.783528,1.536509,50.224286,7.910029,Bus
63.924421,0.710484,154.622217,17.604976,Train
97.892491,1.819762,79.042612,2.003685,Car
0.012349,0.02883,0.012125,0.005095,Stationary
5.444663,0.26726,11.066697,0.743388,Walking
17.57181,0.877456,8.781852,1.106219,Bicycle
54.304828,2.653787,64.303404,10.72968,Bus
84.886129,0.602369,123.305531,10.990424,Train
92.633085,1.403392,99.572439,15.457186,Car
0.016247,0.056729,0.01867,0.008282,Stationary
4.127231,0.539698,8.53871,1.059193,Walking
22.615151,0.637045,19.268973,0.863894,Bicycle
30.036388,2.438744,72.253055,4.129935,Bus
67.717018,0.419825,108.501789,25.539309,Train
83.937731,2.524059,62.66927,22.537533,Car
0.017139,0.053182,0.018038,0.014585,Stationary
4.256566,0.371893,6.627171,0.735177,Walking
13.309306,0.601753,1.433057,2.92741,Bicycle
49.25821,2.361683,63.38797,3.982212,Bus
104.707634,0.527433,146.318861,6.676349,Train
92.067819,2.255305,114.03989,19.30596,Car
0.015988,0.048415,0.012702,0.009813,Stationary
8.70926,0.443664,9.456709,1.092747,Walking
19.49666,0.537447,24.789812,2.951749,Bicycle
50.553122,2.644186,71.290615,0.705047,Bus
111.764156,0.94732,104.573141,13.009932,Train
95.667371,0.751636,122.912525,16.282765,Car
0.016072,0.053063,0.011009,0.000144,Stationary
4.676073,0.292996,10.151723,1.39693,Walking
22.577951,0.829776,3.726671,3.473076,Bicycle
41.884355,2.483337,63.187731,12.330591,Bus
83.7237,0.405297,124.906748,25.40311,Train
47.190004,0.68002,103.567606,21.344539,Car
0.010757,0.036365,0.014348,0.008403,Stationary
5.579619,0.531856,6.507188,0.082615,Walking
24.468411,0.877209,28.068471,3.989576,Bicycle
53.856564,1.669349,50.632865,3.415895,Bus
113.925613,0.370731,153.238453,20.805031,Train
42.088955,2.473009,96.191685,9.402122,Car
0.010376,0.029243,0.011054,0.019019,Stationary
5.855484,0.469954,9.79023,0.685493,Walking
23.557997,0.753165,2.243346,4.417835,Bicycle
41.270706,0.750251,60.869844,7.823227,Bus
105.408518,0.594967,132.215154,8.565829,Train
80.132198,2.465336,109.573503,21.848502,Car
0.017847,0.027395,0.014532,0.006543,Stationary
4.443197,0.462671,9.705278,1.082351,Walking
20.418974,1.121519,20.314972,4.243409,Bicycle
40.233753,1.051202,78.48524,11.067037,Bus
63.573952,0.749998,87.37558,15.201621,Train
93.586322,0.856215,109.062249,18.39863,Car
0.014621,0.033549,0.016082,0.004497,Stationary
7.665184,0.578028,10.209317,1.428789,Walking
21.625848,0.752203,30.422056,0.616539,Bicycle
25.522087,0.590554,50.869292,11.345676,Bus
60.944158,0.875483,109.045057,17.620099,Train
62.018715,0.828749,113.544668,16.773965,Car
0.018443,0.051535,0.019396,0.003208,Stationary
6.465069,0.32505,6.571435,1.003185,Walking
18.20442,1.028517,11.005061,3.182932,Bicycle
27.214711,2.90426,63.125549,10.779588,Bus
100.555163,0.983324,95.434957,27.168565,Train
97.459534,2.259062,103.856761,8.705535,Car
0.016167,0.054701,0.015511,0.006681,Stationary
4.622595,0.410929,6.747591,0.22978,Walking
22.816843,0.682744,15.343059,2.612879,Bicycle
54.626255,1.049977,78.658142,8.035756,Bus
102.950515,0.538356,137.320934,29.48515,Train
100.134559,2.41436,72.73139,19.466746,Car
